oz0	cumleSay
oz1	kelimeSay
oz2	harfSay
oz3	devrikCumle
oz4	ekSay
oz5	cumleOrtKelime
oz6	kelimeOrtHarf
oz7	cumleOrtEK
oz8	kelimeOrtEK
oz9	ucNoktaSay
oz10	noktaSay
oz11	soruSay
oz12	unlemSay
oz13	boslukSay
oz14	virgulSay
oz15	noktaliVirgulSay
oz16	ikiNoktaSay
oz17	tirnakSay
oz18	ustCizgiSay
oz19	TIP_TF_IS
oz20	TIP_TF_FI
oz21	TIP_TF_SI
oz22	TIP_TF_SA
oz23	TIP_TF_YA
oz24	TIP_TF_ZA
oz25	TIP_TF_SO
oz26	TIP_TF_IM
oz27	TIP_TF_ZAMAN
oz28	TIP_TF_HATALI
oz29	TIP_TF_EDAT
oz30	TIP_TF_BAGLAC
oz31	TIP_TF_OZ
oz32	TIP_TF_UN
oz33	TIP_TF_KI
oz34	KOKTFankara
oz35	KOKTFtürk
oz36	KOKTFindir
oz37	KOKTFreklam
oz38	KOKTFsanayi
oz39	KOKTFve
oz40	KOKTFticaret
oz41	KOKTFbakan
oz42	KOKTFtak
oz43	KOKTFtüket
oz44	KOKTFrekabet
oz45	KOKTFkoru
oz46	KOKTFgenel
oz47	KOKTFmüdür
oz48	KOKTFbünye
oz49	KOKTFyer
oz50	KOKTFalan
oz51	KOKTFkurul
oz52	KOKTFaðustos
oz53	KOKTFitibaren
oz54	KOKTFyürürlük
oz55	KOKTFkoy
oz56	KOKTFyeni
oz57	KOKTFtarife
oz58	KOKTFiliþkin
oz59	KOKTFol
oz60	KOKTFtelefon
oz61	KOKTFyüzde
oz62	KOKTFucuzla
oz63	KOKTFslogan
oz64	KOKTFtaþý
oz65	KOKTFtv
oz66	KOKTFbasýn
oz67	KOKTFyanýl
oz68	KOKTFgerekçe
oz69	KOKTFihtiyati
oz70	KOKTFtedbir
oz71	KOKTFnitelik
oz72	KOKTFdurdur
oz73	KOKTFceza
oz74	KOKTFver
oz75	KOKTFkarar
oz76	KOKTFteblið
oz77	KOKTFet
oz78	KOKTFkesin
oz79	KOKTFüç
oz80	KOKTFay
oz81	KOKTFiçinde
oz82	KOKTFbu
oz83	KOKTFsüreç
oz84	KOKTFsavunma
oz85	KOKTFalýn
oz86	KOKTFancak
oz87	KOKTFtarihi
oz88	KOKTFsonra
oz89	KOKTFþirket
oz90	KOKTFhal
oz91	KOKTFmilyar
oz92	KOKTFlira
oz93	KOKTFpara
oz94	KOKTFhak
oz95	KOKTFbulun
oz96	KOKTFönce
oz97	KOKTFgün
oz98	KOKTFdaha
oz99	KOKTFdernek
oz100	KOKTFfederasyon
oz101	KOKTFtanýt
oz102	KOKTFyap
oz103	KOKTFdoðrul
oz104	KOKTFdürüst
oz105	KOKTFilke
oz106	KOKTFaykýrý
oz107	KOKTFdavran
oz108	KOKTFbaþvuru
oz109	KOKTFdeðerlen
oz110	KOKTFtelekomünikasyon
oz111	KOKTFuygula
oz112	KOKTFbaþla
oz113	KOKTFkonuþ
oz114	KOKTFbaþlýk
oz115	KOKTFile
oz116	KOKTFtaný
oz117	KOKTFkampanya
oz118	KOKTFçerçeve
oz119	KOKTFabone
oz120	KOKTFsun
oz121	KOKTFalternatif
oz122	KOKTFücret
oz123	KOKTFpaket
oz124	KOKTFilgi
oz125	KOKTFye
oz126	KOKTFsöz
oz127	KOKTFkonu
oz128	KOKTFvere
oz129	KOKTFbaþkan
oz130	KOKTFbelir
oz131	KOKTFyönelik
oz132	KOKTFifade
oz133	KOKTFtespit
oz134	KOKTFzaman
oz135	KOKTFda
oz136	KOKTFdile
oz137	KOKTFgetir
oz138	KOKTFgibi
oz139	KOKTFaçýkla
oz140	KOKTFdeðil
oz141	KOKTFbindir
oz142	KOKTFyapý
oz143	KOKTFönle
oz144	KOKTFiçin
oz145	KOKTFalýndý
oz146	KOKTFdiye
oz147	KOKTFçýk
oz148	KOKTFsiz
oz149	KOKTFnasýl
oz150	KOKTFsoru
oz151	KOKTFmevcut
oz152	KOKTForta
oz153	KOKTFyanýt
oz154	KOKTFal
oz155	KOKTFhafta
oz156	KOKTFbaþ
oz157	KOKTFöðren
oz158	KOKTFþekli
oz159	KOKTFel
oz160	KOKTFulaþ
oz161	KOKTFgerek
oz162	KOKTFise
oz163	KOKTFedin
oz164	KOKTFbilgi
oz165	KOKTFgöre
oz166	KOKTFeylül
oz167	KOKTFtoplantý
oz168	KOKTFyetki
oz169	KOKTFdavet
oz170	KOKTFdahi
oz171	KOKTFvar
oz172	KOKTFart
oz173	KOKTFdevam
oz174	KOKTFeder
oz175	KOKTFgündem
oz176	KOKTFgelecek
oz177	KOKTFyerin
oz178	KOKTFöte
oz179	KOKTFyan
oz180	KOKTFsayýlý
oz181	KOKTFyasa
oz182	KOKTFmadde
oz183	KOKTFuyarýnca
oz184	KOKTFsabit
oz185	KOKTFhizmet
oz186	KOKTFincele
oz187	KOKTFtahra
oz188	KOKTFiran
oz189	KOKTFcumhurbaþkaný
oz190	KOKTFmuhammed
oz191	KOKTFyabancý
oz192	KOKTFgel
oz193	KOKTFtüm
oz194	KOKTFitiraz
oz195	KOKTFraðmen
oz196	KOKTFülke
oz197	KOKTFiki
oz198	KOKTFözel
oz199	KOKTFsektör
oz200	KOKTFcep
oz201	KOKTFlisans
oz202	KOKTFbuna
oz203	KOKTFanlaþma
oz204	KOKTFyakýn
oz205	KOKTFimzala
oz206	KOKTFsöyle
oz207	KOKTFdolar
oz208	KOKTFyýl
oz209	KOKTFislam
oz210	KOKTFdevrim
oz211	KOKTFen
oz212	KOKTFbüyük
oz213	KOKTFyatýrým
oz214	KOKTFçýkar
oz215	KOKTFkaydet
oz216	KOKTFkabine
oz217	KOKTFaçýklama
oz218	KOKTFbir
oz219	KOKTFdüþün
oz220	KOKTFsözleþ
oz221	KOKTFgörüþme
oz222	KOKTFyavaþ
oz223	KOKTFgeliþ
oz224	KOKTFtürkiye
oz225	KOKTFzam
oz226	KOKTFgeç
oz227	KOKTFsigara
oz228	KOKTFvergi
oz229	KOKTFsistem
oz230	KOKTFdeðiþ
oz231	KOKTFpazar
oz232	KOKTFuygun
oz233	KOKTFfiyat
oz234	KOKTFkategori
oz235	KOKTFuluslararasý
oz236	KOKTForantý
oz237	KOKTFadeta
oz238	KOKTFbiçim
oz239	KOKTFvergile
oz240	KOKTFiþaret
oz241	KOKTFkarþýlýk
oz242	KOKTFtekel
oz243	KOKTFürün
oz244	KOKTFdüþük
oz245	KOKTFön
oz246	KOKTFsürül
oz247	KOKTFadil
oz248	KOKTFdön
oz249	KOKTFpolitika
oz250	KOKTFayýr
oz251	KOKTFanlam
oz252	KOKTFyardým
oz253	KOKTFservis
oz254	KOKTFcömert
oz255	KOKTFþöyle
oz256	KOKTFsürdür
oz257	KOKTFkarþý
oz258	KOKTFbiz
oz259	KOKTFilk
oz260	KOKTFaþama
oz261	KOKTFasgari
oz262	KOKTFtepki
oz263	KOKTFüzeri
oz264	KOKTFtahrip
oz265	KOKTFetki
oz266	KOKTFbelirle
oz267	KOKTFede
oz268	KOKTFbirlikte
oz269	KOKTFdurum
oz270	KOKTFgözde
oz271	KOKTFgeçir
oz272	KOKTFtaraf
oz273	KOKTFeþit
oz274	KOKTFþekil
oz275	KOKTFgeri
oz276	KOKTFdönme
oz277	KOKTFhiç
oz278	KOKTFde
oz279	KOKTFerken
oz280	KOKTFgörüþ
oz281	KOKTFoda
oz282	KOKTFzafer
oz283	KOKTFçaðlayan
oz284	KOKTFnumara
oz285	KOKTFsorun
oz286	KOKTFistihdam
oz287	KOKTFhýzlan
oz288	KOKTFönlem
oz289	KOKTFzeki
